"Variant","Transition","IssueKey","Rule","C0Line","VariantLine","Message"
"C1","RETAINED_FROM_C0","AaAleRvSmNh_xRbasz5a","java:S112","4917","4949","Replace generic exceptions with specific library exceptions or a custom exception."
"C1","RETAINED_FROM_C0","AaAleRvSmNh_xRbasz6A","java:S1123","344","371","Add the missing @deprecated Javadoc tag."
"C1","RETAINED_FROM_C0","AaAleRvSmNh_xRbasz5_","java:S1133","344","371","Do not forget to remove this deprecated code someday."
"C1","RETAINED_FROM_C0","AaAleRvSmNh_xRbasz6G","java:S1135","749","778","Complete the task associated to this TODO comment."
"C1","RETAINED_FROM_C0","AaALOanhQulb_Xfn-xTw","java:S116","202","229","Rename this field ""_addVersionInitFlag"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
"C1","RETAINED_FROM_C0","AaAleRvSmNh_xRbasz6k","java:S1168","5710","5742","Return an empty collection instead of null."
"C1","RETAINED_FROM_C0","AaAleRvSmNh_xRbasz6l","java:S1168","5715","5747","Return an empty collection instead of null."
"C1","RETAINED_FROM_C0","AaAleRvSmNh_xRbasz6m","java:S1168","5722","5754","Return an empty collection instead of null."
"C1","RETAINED_FROM_C0","AaAleRvSmNh_xRbasz6p","java:S1168","5743","5775","Return an empty array instead of null."
"C1","RETAINED_FROM_C0","AaAleRvSmNh_xRbasz6q","java:S1168","5802","5834","Return an empty array instead of null."
"C1","RETAINED_FROM_C0","AaAleRvSmNh_xRbasz6S","java:S1172","2458","2488","Remove this unused method parameter ""classNode""."
"C1","RETAINED_FROM_C0","AaAleRvSmNh_xRbasz57","java:S1181","168","193","Catch Exception instead of Throwable."
"C1","RETAINED_FROM_C0","AaAleRvSmNh_xRbasz6a","java:S1181","3528","3560","Catch Exception instead of Throwable."
"C1","RETAINED_FROM_C0","AaAleRvSmNh_xRbasz6V","java:S1181","2997","3027","Catch Exception instead of Throwable."
"C1","RETAINED_FROM_C0","AaAleRvSmNh_xRbasz6X","java:S1181","3003","3034","Catch Exception instead of Throwable."
"C1","RETAINED_FROM_C0","AaAleRvSmNh_xRbasz5r","java:S1192","3770","3802","Define a constant instead of duplicating this literal ""FALSE"" 6 times."
"C1","RETAINED_FROM_C0","AaAleRvSmNh_xRbasz5U","java:S1199","2102","2152","Extract this nested code block into a method."
"C1","RETAINED_FROM_C0","AaAleRvSmNh_xRbasz5V","java:S1199","2112","2162","Extract this nested code block into a method."
"C1","RETAINED_FROM_C0","AaAleRvSmNh_xRbasz5W","java:S1199","2122","2172","Extract this nested code block into a method."
"C1","RETAINED_FROM_C0","AaAleRvSmNh_xRbasz5X","java:S1199","2132","2132","Extract this nested code block into a method."
"C1","RETAINED_FROM_C0","AaAleRvSmNh_xRbasz5Y","java:S1199","2142","2142","Extract this nested code block into a method."
"C1","RETAINED_FROM_C0","AaAleRvSmNh_xRbasz5Z","java:S1199","2153","2183","Extract this nested code block into a method."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp0_","java:S125","1423","1453","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp10","java:S125","3715","3747","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp12","java:S125","3775","3807","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp13","java:S125","3802","3834","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp14","java:S125","3836","3868","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp15","java:S125","3858","3890","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp16","java:S125","3976","4008","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp17","java:S125","3901","3933","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp18","java:S125","4107","4139","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp19","java:S125","4128","4160","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp1A","java:S125","1438","1468","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp1a","java:S125","2088","2118","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp1c","java:S125","2212","2242","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp1d","java:S125","2228","2258","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp1D","java:S125","1513","1543","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp1g","java:S125","2776","2806","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp1G","java:S125","1575","1605","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp1K","java:S125","1703","1733","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp1L","java:S125","1799","1829","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp1M","java:S125","1808","1838","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp1N","java:S125","1818","1848","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp1P","java:S125","1929","1959","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp1Q","java:S125","1960","1990","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp1R","java:S125","1985","2015","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp1r","java:S125","3090","3122","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp1s","java:S125","3377","3409","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp1t","java:S125","3386","3418","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp1T","java:S125","1996","2026","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp1U","java:S125","2014","2044","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp1u","java:S125","3397","3429","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp1v","java:S125","3408","3440","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp1w","java:S125","3421","3453","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp1W","java:S125","2066","2096","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp1x","java:S125","3647","3679","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp1y","java:S125","3657","3689","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp2B","java:S125","4326","4358","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp2C","java:S125","4336","4368","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp2D","java:S125","4343","4375","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp2F","java:S125","4376","4408","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp2G","java:S125","4399","4431","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp2H","java:S125","4490","4522","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp2I","java:S125","4508","4540","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp2J","java:S125","4752","4784","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp2K","java:S125","4766","4798","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp2L","java:S125","4775","4807","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp2M","java:S125","4787","4819","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp2N","java:S125","4863","4895","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp2P","java:S125","4931","4963","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp2Q","java:S125","4967","4999","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp2R","java:S125","4978","5010","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp2S","java:S125","4989","5021","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp2T","java:S125","5010","5042","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp2U","java:S125","5097","5129","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAKynG1Kije7nS92BW_","java:S125","2816","2846","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAKynG1Kije7nS92BW3","java:S125","2491","2521","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaALC7_-41jXsmVCsseH","java:S125","2909","2939","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaALC7_-41jXsmVCsseI","java:S125","2939","2969","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAleRvSmNh_xRbasz6c","java:S125","3798","3830","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAleRvSmNh_xRbasz6e","java:S125","4534","4566","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAleRvSmNh_xRbasz6f","java:S125","4544","4576","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAleRvSmNh_xRbasz6j","java:S125","4804","4836","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAleRvSmNh_xRbasz6M","java:S125","1520","1550","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAleRvSmNh_xRbasz6N","java:S125","1582","1612","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAleRvSmNh_xRbasz6T","java:S125","2459","2489","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaALJJ9gKije7nS94ke4","java:S125","1206","1236","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaALJJ9gKije7nS94ke5","java:S125","834","863","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaALJJ9gKije7nS94ke6","java:S125","1951","1981","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaALJJ9gKije7nS94ke8","java:S125","4532","4564","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaALJJ9gKije7nS94ke9","java:S125","4608","4640","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaALMFD81r5TurFMiUn-","java:S125","3745","3777","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaALOanhQulb_Xfn-xT0","java:S125","4391","4423","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaALOanhQulb_Xfn-xT1","java:S125","2806","2836","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaALOanhQulb_Xfn-xT5","java:S125","3871","3903","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaALOanhQulb_Xfn-xT6","java:S125","3877","3909","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaALPZMXTV2yRQvmS5BZ","java:S125","1611","1641","This block of commented-out lines of code should be removed."
"C1","RETAINED_FROM_C0","AaAKynG1Kije7nS92BW5","java:S128","2617","2647","End this switch case with an unconditional break, return or throw statement."
"C1","RETAINED_FROM_C0","AaAKynG1Kije7nS92BW6","java:S128","2599","2629","End this switch case with an unconditional break, return or throw statement."
"C1","RETAINED_FROM_C0","AaAKynG1Kije7nS92BW7","java:S128","2581","2611","End this switch case with an unconditional break, return or throw statement."
"C1","RETAINED_FROM_C0","AaAKynG1Kije7nS92BW8","java:S128","2527","2557","End this switch case with an unconditional break, return or throw statement."
"C1","RETAINED_FROM_C0","AaAKynG1Kije7nS92BW9","java:S128","2509","2539","End this switch case with an unconditional break, return or throw statement."
"C1","RETAINED_FROM_C0","AaALC7_-41jXsmVCsseF","java:S128","2563","2593","End this switch case with an unconditional break, return or throw statement."
"C1","RETAINED_FROM_C0","AaALC7_-41jXsmVCsseG","java:S128","2545","2575","End this switch case with an unconditional break, return or throw statement."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp1V","java:S131","2031","2061","Add a default case to this switch."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp2O","java:S131","4923","4955","Add a default case to this switch."
"C1","RETAINED_FROM_C0","AaAleRvSmNh_xRbasz5b","java:S135","708","737","Reduce the total number of break and continue statements in this loop to use at most one."
"C1","RETAINED_FROM_C0","AaAleRvSmNh_xRbasz5c","java:S135","5747","5779","Reduce the total number of break and continue statements in this loop to use at most one."
"C1","RETAINED_FROM_C0","AaAleRvSmNh_xRbasz5S","java:S1488","5334","5366","Immediately return this expression instead of assigning it to the temporary variable ""getter""."
"C1","RETAINED_FROM_C0","AaAleRvSmNh_xRbasz5T","java:S1488","5391","5423","Immediately return this expression instead of assigning it to the temporary variable ""setter""."
"C1","RETAINED_FROM_C0","AaAleRvSmNh_xRbasz6d","java:S1940","4529","4561","Use the opposite operator (""<="") instead."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp1i","java:S2447","2987","3017","Null is returned but a ""Boolean"" is expected."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp1j","java:S2447","3005","3037","Null is returned but a ""Boolean"" is expected."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp00","java:S3776","695","722","Refactor this method to reduce its Cognitive Complexity from 32 to the 15 allowed."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp2W","java:S3776","5540","5572","Refactor this method to reduce its Cognitive Complexity from 31 to the 15 allowed."
"C1","RETAINED_FROM_C0","AaAleRvSmNh_xRbasz6B","java:S3776","610","637","Refactor this method to reduce its Cognitive Complexity from 23 to the 15 allowed."
"C1","RETAINED_FROM_C0","AaAleRvSmNh_xRbasz6b","java:S3776","3765","3797","Refactor this method to reduce its Cognitive Complexity from 32 to the 15 allowed."
"C1","RETAINED_FROM_C0","AaAleRvSmNh_xRbasz6i","java:S3776","4671","4703","Refactor this method to reduce its Cognitive Complexity from 17 to the 15 allowed."
"C1","RETAINED_FROM_C0","AaAleRvSmNh_xRbasz6J","java:S3776","904","933","Refactor this method to reduce its Cognitive Complexity from 25 to the 15 allowed."
"C1","RETAINED_FROM_C0","AaAleRvSmNh_xRbasz6L","java:S3776","1072","1102","Refactor this method to reduce its Cognitive Complexity from 28 to the 15 allowed."
"C1","RETAINED_FROM_C0","AaAleRvSmNh_xRbasz6o","java:S3776","5736","5768","Refactor this method to reduce its Cognitive Complexity from 30 to the 15 allowed."
"C1","RETAINED_FROM_C0","AaAleRvSmNh_xRbasz6O","java:S3776","2170","2200","Refactor this method to reduce its Cognitive Complexity from 99 to the 15 allowed."
"C1","RETAINED_FROM_C0","AaAleRvSmNh_xRbasz6R","java:S3776","2458","2488","Refactor this method to reduce its Cognitive Complexity from 37 to the 15 allowed."
"C1","RETAINED_FROM_C0","AaAleRvSmNh_xRbasz6U","java:S3776","2740","2770","Refactor this method to reduce its Cognitive Complexity from 107 to the 15 allowed."
"C1","RETAINED_FROM_C0","AaAleRvSmNh_xRbasz6Z","java:S3776","3073","3105","Refactor this method to reduce its Cognitive Complexity from 31 to the 15 allowed."
"C1","RETAINED_FROM_C0","AaALJ3Ze1r5TurFMiGnG","java:S3776","3500","3532","Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed."
"C1","RETAINED_FROM_C0","AaALJJ9gKije7nS94ke7","java:S3776","4068","4100","Refactor this method to reduce its Cognitive Complexity from 19 to the 15 allowed."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp1l","java:S3878","2994","3024","Remove this array creation and simply pass the elements."
"C1","RETAINED_FROM_C0","AaAKIzZERXPx87p8Mp1o","java:S3878","3000","3031","Remove this array creation and simply pass the elements."
"C1","RETAINED_FROM_C0","AaALC7_-41jXsmVCsseJ","java:S3878","3047","3079","Remove this array creation and simply pass the elements."
"C1","RETAINED_FROM_C0","AaAleRvSmNh_xRbasz6H","java:S3878","763","792","Remove this array creation and simply pass the elements."
"C1","RETAINED_FROM_C0","AaAleRvSmNh_xRbasz6C","java:S6213","652","679","Rename this method to not match a restricted identifier."
"C1","RETAINED_FROM_C0","AaAleRvSmNh_xRbasz5-","java:S6355","343","370","Add 'since' and/or 'forRemoval' arguments to the @Deprecated annotation."
"C1","RETAINED_FROM_C0","AaAleRvSmNh_xRbasz59","java:S6355","267","294","Add 'since' and/or 'forRemoval' arguments to the @Deprecated annotation."
"C2","NEW_VS_C0","AaBJJyuWYKx8-rumvjxR","java:S106","","5520","Replace this use of System.err by a logger."
"C2","NEW_VS_C0","AaBJIMh7vHQDC_H9Co8I","java:S1066","","4121","Merge this if statement with the enclosing one."
"C2","NEW_VS_C0","AaBJJyuWYKx8-rumvjxN","java:S108","","3027","Remove this block of code, fill it in, or add a comment explaining why it is empty."
"C2","NEW_VS_C0","AaBJJyuWYKx8-rumvjxO","java:S108","","3033","Remove this block of code, fill it in, or add a comment explaining why it is empty."
"C2","NEW_VS_C0","AaBJJyuWYKx8-rumvjxS","java:S1155","","5755","Use isEmpty() to check whether the collection is empty or not."
